carID,name,model,year,city,km,condition,color,price
1433,چری,آریزو 5 دنده ای لاکچری,1397,شیراز,78000,بدون رنگ,مشکی,365000000
1434,پراید,131 SE,1398,شیراز,50000,یک لکه رنگ,سفید,103000000
1435,پراید,111 SE,1394,تهران,147000,دو لکه رنگ,سفید,89500000
1436,گریت,وال هاوال H2,1398,تهران,12000,بدون رنگ,سفید,610
1437,پژو,206 تیپ 2,1396,شیراز,35000,بدون رنگ,سفید,177000000
1438,هافی,لوبو,1390,تهران,75000,بدون رنگ,سرمه ای,68000000
1439,پژو,405 GLX دوگانه سوز,1387,تهران,155000,چند لکه رنگ,نقره ای,73000000
1440,سمند,SE,1394,تهران,110000,دو لکه رنگ,سفید,12500000
1441,ام,وی ام 315 پلاس,1399,تهران,1000,بدون رنگ,مشکی,350000000
1442,تیبا,۲‌ (هاچ بک) EX,1397,بابل,50000,یک لکه رنگ,سفید,126000000
1443,رنو,مگان 2000 وارداتی,2008,تهران,126000,چند لکه رنگ,نقره ای,300000000
1444,پژو,405 GLX بنزینی,1383,تهران,300000,چند لکه رنگ,نوک مدادی,60000000
1445,پژو,Roa ساده,1385,تهران,120000,صافکاری بدون رنگ,نوک مدادی,60000000
1446,مزدا,323 تیپ 5,1385,تهران,300000,دور رنگ,سفید,193000000
1447,هایما,S7 2.0 لیتر,1396,شیراز,101000,بدون رنگ,نوک مدادی,505000000
1448,پژو,405 GLX بنزینی,1391,تهران,144000,بدون رنگ,اطلسی,113000000
1449,پیکان,وانت,1392,تهران,78000,دو لکه رنگ,سفید,110000000
1450,پراید,111 SE,1396,شهر ری,80000,یک لکه رنگ,سفید,95000000
1451,فوتون,تونلند 2.8,1393,بیرجند,130000,بدون رنگ,سفید صدفی,490000000
1452,پژو,پارس LX,1394,آمل,250000,دور رنگ,سفید,145000000
1453,کیا,ریو مونتاژ,1385,تهران,256000,صافکاری بدون رنگ,نقره ای,95000000
1454,رنو,تندر 90 E1,1390,پاکدشت,273000,چند لکه رنگ,سفید,138000000
1455,هیوندای,النترا,2012,کیش,305000,چند لکه رنگ,نقره ای,335000000
1456,سیتروئن,زانتیا 2000,1389,اصفهان,213000,بدون رنگ,سفید,245000000
1457,پراید,131 ساده,1377,تبریز,300000,چند لکه رنگ,سفید,36000000
1458,پیکان,وانت,1387,اصفهان,25000,یک لکه رنگ,سفید,70000000
1459,سیتروئن,C5,2007,دماوند,45000,صافکاری بدون رنگ,مشکی,345000000
1460,هیوندای,توسان (ix35) 2.4 لیتر,2014,تهران,112000,چند لکه رنگ,مشکی,800000000
1461,پژو,207 اتوماتیک,1400,ياسوج,0,بدون رنگ,سفید,386000000
1462,پیکان,وانت,1390,شهریار,400000,چند لکه رنگ,سفید,88000000
1463,پژو,پارس ساده,1392,تهران,67000,یک لکه رنگ,سفید,168000000
1464,ریچ,پیکاپ,1394,آمل,130000,بدون رنگ,مشکی,380000000
1465,ساینا,EX,1400,تهران,0,بدون رنگ,سفید,147500000
1466,پیکان,وانت,1387,تهران,200000,دور رنگ,سفید,58000000
1467,پیکان,وانت,1388,شیراز,400000,چند لکه رنگ,سفید صدفی,77000000
1468,سمند,EL دوگانه سوز,1391,تهران,203000,صافکاری بدون رنگ,مشکی,120000000
1469,پیکان,صندوق دار,1378,اسلامشهر,157000,کامل رنگ,مشکی,62000000
1470,پراید,استیشن,1375,اهر,500000,بدون رنگ,سفید,18000000
1471,هیوندای,اکسل,1994,خمینی‌شهر,390000,چند لکه رنگ,نقره ای,63000000
1472,پژو,2008 وارداتی,2019,تهران,16000,بدون رنگ,سفید,810000000
1473,پراید,111 SE,1395,بابل,180000,بدون رنگ,سفید,98000000
1474,سوزوکی,گرند ویتارا مونتاژ 2400 دنده ای,1389,تهران,216000,دو لکه رنگ,سفید,418000000
1475,سیتروئن,زانتیا 2000,1384,شیراز,250000,دو لکه رنگ,نقره ای,145000000
1476,پژو,207 دنده ای,1400,ورامین,0,بدون رنگ,سفید صدفی,3050000000
1477,پراید,111 SE,1396,تهران,64000,دو لکه رنگ,سفید,107000000
1478,سمند,LX EF7 دوگانه سوز,1396,تهران,42000,بدون رنگ,نوک مدادی,198000000
1479,پراید,131 دوگانه سوز,1395,تهران,120000,بدون رنگ,سفید,83000000
1480,پراید,111 SE,1398,تهران,35000,بدون رنگ,سفید,119000000
1481,رانا,LX,1393,اصفهان,158000,تصادفی,سفید,100000000
1482,پژو,پارس LX,1398,جوانرود,29000,بدون رنگ,سفید,239000000
1483,پژو,405 GLX بنزینی,1398,تهران,27000,بدون رنگ,طوسی,175000000
1484,تیبا,۲‌ (هاچ بک) EX,1400,تهران,0,بدون رنگ,سفید,143000000
1485,پراید,131 SL,1390,ورامین,23000,یک لکه رنگ,زیتونی,65000000
1486,سمند,LX ساده,1390,کرج,350000,بدون رنگ,سفید,110000000
1487,پژو,405 GLX بنزینی,1395,اهواز,104000,صافکاری بدون رنگ,نوک مدادی,145000000
1488,رانا,LX,1393,نوشهر,160000,چند لکه رنگ,مشکی,120000000
1489,پژو,405 GLX بنزینی,1384,قائم‌شهر,60000,دور رنگ,نقره ای,61000000
1490,پراید,صندوق دار ساده,1383,شیراز,100000,چند لکه رنگ,سفید,36000000
1491,پژو,پارس ساده,1400,اصفهان,0,بدون رنگ,سفید,238000000
1492,پژو,پارس ساده,1389,نوشهر,260000,چند لکه رنگ,سفید صدفی,117000000
1493,سمند,X7,1384,تهران,199000,چند لکه رنگ,نقره ای,69000000
1494,کاپرا,دو کابین تک دیفرانسیل,1389,اصفهان,280000,یک لکه رنگ,سفید,253000000
1495,پیکان,وانت,1385,نوشهر,300000,چند لکه رنگ,سفید,65000000
1496,پژو,207 اتوماتیک,1397,مرند,47000,بدون رنگ,مشکی,328000000
1497,کیا,ریو مونتاژ,1389,ساری,224000,بدون رنگ,نوک مدادی,125000000
1498,پراید,صندوق دار ساده,1386,تبریز,270000,دور رنگ,نقره ای,55000000
1499,پژو,پارس ساده,1393,بابل,150000,یک لکه رنگ,سفید,140000000
1500,ساینا,EX,1400,شیراز,0,بدون رنگ,سفید,14000000
1501,نیسان,وانت,1389,تهران,500000,بدون رنگ,آبی,175000000
1502,پژو,RDi,1385,ساری,200000,چند لکه رنگ,یشمی,35000000
1503,ام,جی 6 مگنت,2013,تهران,199000,دو لکه رنگ,مشکی,390000000
1504,پژو,RDi,1385,ساری,200000,چند لکه رنگ,یشمی,35000000
1505,چری,تیگو 7 IE,1398,کرج,20000,بدون رنگ,مشکی,810000000
1506,پژو,206 تیپ 5,1396,بابل,54000,یک لکه رنگ,سفید,195000
1507,نیسان,وانت,1382,تبریز,380000,چند لکه رنگ,آبی,109000000
1508,سمند,LX EF7 دوگانه سوز,1393,تبریز,200000,دو لکه رنگ,سفید,145000000
1509,پژو,405 GLX بنزینی,1389,شیراز,300000,تصادفی,طوسی,62000000
1510,دنا,ساده,1399,سنندج,4000,بدون رنگ,سفید,288000000
1511,ام,وی ام 110 3 سیلندر,1387,قزوین,144000,یک لکه رنگ,سرمه ای,52000000
1512,پژو,405 GL بنزینی,1396,تهران,65000,بدون رنگ,نوک مدادی,161000000
1513,پژو,پارس ساده,1400,تبریز,0,بدون رنگ,سفید,25000000
1514,پژو,206 تیپ 2,1389,تهران,195000,چند لکه رنگ,نوک مدادی,110000000
1515,فولکس,واگن گل,1384,شیراز,52000,دور رنگ,نقره ای,58
1516,سمند,LX EF7 دوگانه سوز,1396,تهران,75000,بدون رنگ,زرد,170000000
1517,پژو,206 تیپ 2,1396,تبریز,100000,یک لکه رنگ,سفید,168000000
1518,پژو,405 GLX دوگانه سوز,1396,تهران,209000,بدون رنگ,زرد,120000000
1519,هیوندای,سوناتا هایبرید GLS Plus,2018,کاشان,45000,بدون رنگ,مشکی,1650000000
1520,سانگ,یانگ کایرون,2012,تهران,120000,بدون رنگ,مشکی,790000000
1521,دوو,سیلو,1397,کاشان,520000,دور رنگ,بژ,55000000
1522,پژو,206 SD V1,1390,شیراز,200000,بدون رنگ,سفید,135000000
1523,پراید,صندوق دار ساده,1386,نجف‌آباد,358000,دور رنگ,نقره ای,58000000
